MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 373}, {'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 875, 'y': 374}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 487, 'y': 399}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 443, 'y': 405}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 416, 'y': 533}, {'x': 416, 'y': 481}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 528, 'y': 456}, {'x': 944, 'y': 30}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 944, 'y': 30}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 795, 'y': 203}, {'x': 794, 'y': 162}, {'x': 792, 'y': 172}, {'x': 792, 'y': 174}, {'x': 792, 'y': 176}, {'x': 791, 'y': 177}, {'x': 791, 'y': 179}, {'x': 791, 'y': 181}, {'x': 944, 'y': 30}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 944, 'y': 30}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 334, 'y': 406}, {'x': 334, 'y': 354}, {'x': 944, 'y': 30}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
"[{'x': 484, 'y': 572}]","['l', 'r']","[1542, 871]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36idd",PST,de
"[{'x': 571, 'y': 369}]","['z', 'n']","[1539, 857]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36k4r",PST,de
"[{'x': 767, 'y': 521}]","['j', 'c']","[1526, 868]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.367q7",GMT,es
"[{'x': 686, 'y': 358}]","['k', 'a']","[1545, 854]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36drt",UTC,fr
"[{'x': 700, 'y': 492}]","['f', 's']","[1543, 858]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36cnb",GMT,es
[],"['a', 'p']","[1537, 860]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36wns",UTC,de
[],"['a', 't']","[1536, 870]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.361td",EST,de
[],"['h', 'q']","[1527, 872]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36zk2",EST,es
[],"['k', 'h']","[1541, 861]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36872",EST,es
"[{'x': 790, 'y': 474}, {'x': 846, 'y': 462}, {'x': 967, 'y': 435}]","['i', 'u']","[1541, 861]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36seo",PST,fr
[],"['n', 'r']","[1540, 856]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36k2w",UTC,es
[],"['j', 'l']","[1544, 862]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.369qa",EST,es
[],"['a', 'g']","[1542, 867]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36p5z",EST,en
[],"['j', 'n']","[1529, 863]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36r85",PST,es
[],"['j', 'i']","[1531, 863]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.361uv",PST,en
[],"['j', 'm']","[1533, 855]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.3613p",UTC,en
[],"['f', 'w']","[1543, 859]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.3662y",UTC,fr
[],"['y', 'a']","[1531, 858]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36tor",GMT,es
[],"['k', 'h']","[1538, 869]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36ybr",EST,es
[],"['p', 'u']","[1529, 865]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36vh8",GMT,en
[],"['h', 'c']","[1536, 863]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36cl7",UTC,de
[],"['s', 'b']","[1539, 859]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.361p8",UTC,es
[],"['b', 'e']","[1535, 858]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36nd5",UTC,fr
[],"['j', 'k']","[1536, 854]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36clj",EST,fr
[],"['a', 'v']","[1530, 866]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36myx",GMT,en
[],"['z', 'g']","[1528, 866]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36843",UTC,de
[],"['l', 'q']","[1532, 861]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36po9",UTC,fr
[],"['b', 'n']","[1536, 868]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.365sr",GMT,fr
[],"['d', 'm']","[1533, 866]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36ve4",PST,es
[],"['c', 'v']","[1534, 871]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36xer",PST,en
[],"['b', 'l']","[1538, 855]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36egu",GMT,es
[],"['c', 'x']","[1539, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.3624j",GMT,de
"[{'x': 874, 'y': 372}, {'x': 872, 'y': 373}]","['q', 'v']","[1531, 856]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36j2s",EST,fr
"[{'x': 875, 'y': 377}]","['x', 'q']","[1542, 857]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36lun",UTC,fr
"[{'x': 871, 'y': 375}]","['a', 'b']","[1526, 871]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36009",UTC,de
"[{'x': 871, 'y': 376}]","['l', 't']","[1538, 857]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.362xi",GMT,fr
"[{'x': 873, 'y': 377}]","['y', 'l']","[1527, 870]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36o93",GMT,de
"[{'x': 873, 'y': 373}]","['t', 'o']","[1542, 861]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36z94",EST,es
"[{'x': 874, 'y': 374}]","['y', 'g']","[1541, 868]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36bk2",UTC,fr
"[{'x': 876, 'y': 376}]","['h', 'k']","[1533, 855]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.364t2",PST,de
"[{'x': 871, 'y': 373}]","['v', 'b']","[1534, 861]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.367rn",UTC,en
"[{'x': 875, 'y': 377}]","['x', 'b']","[1534, 868]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36nxf",GMT,en
"[{'x': 486, 'y': 395}]","['x', 'i']","[1540, 865]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36lz4",UTC,en
"[{'x': 441, 'y': 409}]","['y', 'm']","[1535, 870]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.369p9",PST,fr
[],"['p', 'i']","[1544, 872]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36bgq",UTC,es
"[{'x': 413, 'y': 534}, {'x': 418, 'y': 479}]","['m', 'v']","[1545, 858]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36an8",UTC,en
"[{'x': 523, 'y': 459}, {'x': 943, 'y': 34}]","['t', 's']","[1528, 867]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36fil",GMT,fr
"[{'x': 945, 'y': 33}]","['n', 'x']","[1530, 872]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36jmv",GMT,fr
"[{'x': 799, 'y': 207}, {'x': 789, 'y': 165}, {'x': 790, 'y': 175}, {'x': 793, 'y': 177}, {'x': 792, 'y': 179}, {'x': 791, 'y': 174}, {'x': 791, 'y': 177}, {'x': 791, 'y': 177}, {'x': 944, 'y': 31}]","['c', 'h']","[1540, 866]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36r3w",PST,es
"[{'x': 942, 'y': 33}]","['o', 'l']","[1538, 869]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.364lv",EST,fr
"[{'x': 338, 'y': 410}, {'x': 335, 'y': 351}, {'x': 939, 'y': 30}]","['y', 'm']","[1544, 867]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36kbl",EST,es
"[{'x': 479, 'y': 571}]","['w', 't']","[1528, 865]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36c7y",UTC,de
"[{'x': 570, 'y': 367}]","['b', 'f']","[1530, 854]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36tj5",GMT,es
"[{'x': 763, 'y': 526}]","['x', 'k']","[1541, 868]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36o2i",PST,de
"[{'x': 685, 'y': 361}]","['p', 'l']","[1530, 873]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36bd0",UTC,de
"[{'x': 698, 'y': 496}]","['t', 'r']","[1544, 873]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.369sc",GMT,de
[],"['q', 'i']","[1544, 858]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36mb3",EST,de
[],"['x', 'i']","[1527, 869]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36fhd",EST,en
[],"['o', 'g']","[1540, 868]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.3600v",EST,en
[],"['p', 'u']","[1544, 855]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36q22",GMT,fr
"[{'x': 783, 'y': 477}, {'x': 846, 'y': 454}, {'x': 967, 'y': 440}]","['p', 'o']","[1536, 863]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36wdr",UTC,fr
[],"['f', 'j']","[1528, 859]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.360t9",GMT,en
[],"['i', 'm']","[1534, 855]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.3691f",UTC,es
[],"['z', 'l']","[1535, 855]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36vky",GMT,es
[],"['d', 'l']","[1542, 858]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36g0g",EST,es
[],"['e', 'l']","[1540, 865]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36o4e",GMT,fr
[],"['y', 'k']","[1534, 866]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36q4o",UTC,en
[],"['c', 'g']","[1527, 865]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36eo5",PST,de
[],"['y', 'g']","[1543, 860]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.360n1",PST,de
[],"['d', 'n']","[1545, 873]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.3697y",PST,de
[],"['c', 'u']","[1535, 870]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.369c5",EST,es
[],"['d', 'h']","[1528, 866]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36pkg",PST,de
[],"['t', 'f']","[1527, 867]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36hip",GMT,en
[],"['p', 'p']","[1545, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36qwc",PST,es
[],"['a', 'j']","[1533, 867]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.360me",EST,fr
